"Time","N2","N4","N6","N8","N10","N12","N14","N16","N18","N20"
8,30,30,30,30,30,30,30,30,30,30
9,25,24,24,26,25.5,25.5,26,26,26,26
10,25,25,24,26,26.5,26,26,26,27.5,26.5
11,25,25,24,28,28.5,26,26,26,28.5,27
12,25,25,24,28,28.5,26,26,26,28.5,27
13,25,25,23.5,26,26,23.5,26,26,26,26
14,25,25,24,26,28,27,26,26,27.5,27.5
15,25,25,24,28,28.5,27,26,27,28.5,27.5
16,25,25,24,26,26,25.5,26,26,27,27
17,25,25,24,28,28.5,27,26,27,28.5,27.5
18,23.5,23.5,23.5,24,23,23,27,27,23,23
19,30,30,30,30,30,30,30,30,30,30
